,portfolio
2008-07-18,0.004248461316274198
2008-07-21,-0.0035129317766012485
2008-07-22,-0.005688431694796525
2008-07-23,-0.001366455095096971
2008-07-24,-0.003118052019795178
2008-07-25,-0.0010434425049666734
2008-07-28,0.0026395059191811248
2008-07-29,0.0036075270788541907
2008-07-30,0.0008453688405902228
2008-07-31,-0.00238952116087956
2008-08-01,-0.008203221187551193
2008-08-04,0.00040985740947592324
2008-08-05,0.0015362535382161704
2008-08-06,-0.0003828755483523674
2008-08-07,0.0026643991229607852
2008-08-08,-0.010205232861383893
2008-08-11,-0.0018334021101154888
2008-08-12,-0.00030254169562060574
2008-08-13,-0.001670420209705965
2008-08-14,-0.0003265815829768398
2008-08-15,0.0005084966721965005
2008-08-18,-0.00026323309679583337
2008-08-19,0.0015854436529145687
2008-08-20,0.006772052196908175
2008-08-21,0.0010392317766711196
2008-08-22,-0.003659221108286911
2008-08-25,0.0022833849937744437
2008-08-26,0.004469521441539876
2008-08-27,0.006768787315423127
2008-08-28,-0.0070043405093714525
2008-08-29,-0.00627588486253423
2008-09-02,0.00041031515231224557
2008-09-03,-0.009093684847592945
2008-09-04,0.0018096500816407002
2008-09-05,0.0072441602562632185
2008-09-08,-0.007236769255073095
2008-09-09,-0.007852034470227988
2008-09-10,0.0006196543838972589
2008-09-11,-0.0006693505443348558
2008-09-12,0.010787196624891787
2008-09-15,0.002324971188044609
2008-09-16,0.009678747481487157
2008-09-17,-0.006625025571627351
2008-09-18,-0.0028443498781043743
2008-09-19,0.00023424310179675362
2008-09-22,-0.009590071856017427
2008-09-23,0.00036052551477383293
2008-09-24,0.0022024221175844915
2008-09-25,0.00472317165101371
2008-09-26,0.0018564858491793316
2008-09-29,-0.012732989603400897
2008-09-30,0.009205511697982015
2008-10-01,-0.011528921647579397
2008-10-02,0.0022672898534428234
2008-10-03,0.0007918196487234543
2008-10-06,-0.0077683785729479185
2008-10-07,-0.011125515984933908
2008-10-08,-0.022266318626358632
2008-10-09,-0.02246731489842501
2008-10-10,0.023905454149233615
