,SPY,TLT,GLD,regime
2015-01-30,0.5500000007090144,0.4000000009492398,0.04999999834174904,Bull
2015-02-02,0.5499999985145053,0.4000000020915182,0.04999999939398716,Bull
2015-02-03,0.5499999988990719,0.40000000103766614,0.05000000006326162,Bull
2015-02-04,0.550000003826833,0.3999999992806425,0.04999999689252158,Bull
2015-02-05,0.550000002283809,0.4000000007559952,0.04999999696021744,Bull
2015-02-06,0.5500000029807103,0.400000000090163,0.0499999969291391,Bull
2015-02-09,0.550000002445343,0.40000000065010566,0.0499999969045699,Bull
2015-02-10,0.5500000020779368,0.40000000108489747,0.04999999683718464,Bull
2015-02-11,0.5500000023633649,0.4000000006320156,0.049999997004635845,Bull
2015-02-12,0.5500000022263299,0.4000000004667733,0.04999999730691352,Bull
2015-02-13,0.5500000023776281,0.40000000041490563,0.04999999720748256,Bull
2015-02-17,0.5500000025226238,0.39999999973906175,0.0499999977383296,Bull
2015-02-18,0.5500000029951327,0.39999999926112784,0.04999999774375128,Bull
2015-02-19,0.5500000026386708,0.3999999998324884,0.049999997528853965,Bull
2015-02-20,0.5500000030949755,0.3999999990456604,0.04999999785937671,Bull
2015-02-23,0.5500000033086715,0.39999999916577544,0.04999999752555296,Bull
2015-02-24,0.5500000027918734,0.3999999995028511,0.04999999770528916,Bull
2015-02-25,0.5500000021788062,0.40000000045836664,0.04999999736283666,Bull
2015-02-26,0.5500000022314459,0.40000000036769556,0.04999999740086626,Bull
2015-02-27,0.5500000030155365,0.39999999920730633,0.04999999777716727,Bull
2015-03-02,0.5500000023026228,0.4000000003901998,0.04999999730718966,Bull
2015-03-03,0.5500000044736422,0.3999999992285667,0.04999999629779113,Bull
2015-03-04,0.5500000001335367,0.40000000000980773,0.04999999985665563,Bull
2015-03-05,0.550000002287991,0.4000000004612565,0.049999997250753096,Bull
2015-03-06,0.5500000028088258,0.39999999982798257,0.04999999736320253,Bull
2015-03-09,0.5500000033629769,0.4000000000390216,0.04999999659800169,Bull
2015-03-10,0.5500000000465604,0.40000000003511943,0.04999999991832132,Bull
2015-03-11,0.5500000000206157,0.40000000001014463,0.049999999969256664,Bull
2015-03-12,0.5500000000201681,0.4000000000113938,0.04999999996844517,Bull
2015-03-13,0.5500000000179344,0.40000000001808955,0.049999999963983015,Bull
2015-03-16,0.5500000043215872,0.40000000130890595,0.049999994369507056,Bull
2015-03-17,0.5500000000792161,0.40000000008279146,0.04999999983799242,Bull
2015-03-18,0.550000002058689,0.40000000117448686,0.04999999676682473,Bull
2015-03-19,0.5500000000371928,0.40000000002967345,0.04999999993313426,Bull
2015-03-20,0.5500000018822658,0.4000000008426994,0.04999999727503482,Bull
2015-03-23,0.5500000021707694,0.4000000003829356,0.04999999744630232,Bull
2015-03-24,0.5500000020485779,0.40000000069547337,0.04999999725595651,Bull
2015-03-25,0.5500000023549808,0.4000000001069855,0.049999997538043725,Bull
2015-03-26,0.5500000017891074,0.4000000002029735,0.04999999800793192,Bull
2015-03-27,0.5500000022704719,0.4000000001898114,0.04999999753972747,Bull
2015-03-30,0.5500000022668424,0.4000000000738493,0.04999999765932166,Bull
2015-03-31,0.5500000023611621,0.4000000003195547,0.049999997319293964,Bull
2015-04-01,0.550000001790102,0.40000000022650206,0.0499999979834099,Bull
2015-04-02,0.5500000003115576,0.40000000136706676,0.049999998321388725,Bull
2015-04-06,0.5500000007722512,0.40000000121566553,0.04999999801209058,Bull
2015-04-07,0.5500000012560224,0.40000000104504146,0.04999999769894658,Bull
2015-04-08,0.5500000018091624,0.4000000003568394,0.04999999783400778,Bull
2015-04-09,0.5500000024736837,0.39999999996873425,0.0499999975575928,Bull
2015-04-10,0.5500000023722156,0.4000000003068472,0.049999997320947835,Bull
2015-04-13,0.5500000024262415,0.40000000021509724,0.04999999735867324,Bull
2015-04-14,0.5500000037691665,0.39999999911929557,0.04999999711153787,Bull
2015-04-15,0.55000000007602,0.4000000000124741,0.049999999911505714,Bull
2015-04-16,0.5500000000506536,0.4000000000076442,0.04999999994170664,Bull
2015-04-17,0.5500000046173724,0.39999999845190337,0.04999999693072427,Bull
2015-04-20,0.5500000024296035,0.4000000002740035,0.049999997296415924,Bull
2015-04-21,0.5500000024431286,0.40000000026191684,0.04999999729496645,Bull
2015-04-22,0.5500000024891006,0.40000000010394066,0.04999999740697286,Bull
2015-04-23,0.5500000031113073,0.39999999930985625,0.04999999757884975,Bull
2015-04-24,0.550000003511424,0.3999999986644218,0.04999999782417154,Bull
2015-04-27,0.5500000044091381,0.399999999087625,0.049999996503236936,Bull
2015-04-28,0.5500000042912307,0.39999999849879886,0.049999997209970545,Bull
2015-04-29,0.5500000046608557,0.39999999747377757,0.04999999786536657,Bull
2015-04-30,0.5500000061019626,0.3999999967645063,0.04999999713353106,Bull
2015-05-01,0.5500000050545039,0.39999999880506243,0.04999999614043365,Bull
2015-05-04,0.5500187973185349,0.39998120151515865,0.050000001166306485,Bull
2015-05-05,0.699999999579676,0.25000000077209855,0.04999999964822578,Bull
2015-05-06,0.662082461223126,0.2879175378560578,0.05000000092081622,Bull
2015-05-07,0.7000000004828015,0.25000000165949865,0.049999997857699874,Bull
2015-05-08,0.6999999995659483,0.2500000005374254,0.04999999989662629,Bull
2015-05-11,0.6999999799430625,0.25000002327268633,0.04999999678425327,Bull
2015-05-12,0.7000000001134891,0.2500000002743688,0.049999999612142056,Bull
2015-05-13,0.6999999992543771,0.25000000082136264,0.049999999924295095,Bull
2015-05-14,0.700000000054268,0.25000000008444323,0.04999999986133755,Bull
2015-05-15,0.7000000003927845,0.2500000027099004,0.04999999689731494,Bull
2015-05-18,0.6999999999645697,0.25000000245531184,0.049999997580133626,Bull
2015-05-19,0.7000000015875776,0.2500000015344614,0.04999999687797139,Bull
2015-05-20,0.7000000018077223,0.2500000012552998,0.04999999693697957,Bull
2015-05-21,0.700000000049515,0.25000000002601613,0.04999999992446997,Bull
2015-05-22,0.7000000000471566,0.2500000000502614,0.049999999902583685,Bull
2015-05-26,0.7000000000731597,0.25000000007915485,0.04999999984768769,Bull
2015-05-27,0.6999999999625048,0.2500000001051452,0.04999999993235729,Bull
2015-05-28,0.6999999894597739,0.2500000127888533,0.04999999775137402,Bull
2015-05-29,0.7000000000558873,0.2500000001089984,0.04999999983511459,Bull
2015-06-01,0.6999999823153107,0.25000002022311274,0.04999999746159137,Bull
2015-06-02,0.6999999999933918,0.2500000001975002,0.04999999980910856,Bull
2015-06-03,0.6999999994027687,0.2500000034027585,0.049999997194473095,Bull
2015-06-04,0.6999999999135036,0.2500000042278112,0.0499999958586851,Bull
2015-06-05,0.6999999781707399,0.2500000242360735,0.04999999759324289,Bull
2015-06-08,0.6999999963338932,0.25000000409695494,0.04999999956917477,Bull
2015-06-09,0.699998749123012,0.2500012501690846,0.05000000070790356,Bull
2015-06-10,0.6999999411825334,0.25000006167370825,0.049999997143776384,Bull
2015-06-11,0.7000000002262804,0.25000000039184267,0.0499999993818776,Bull
2015-06-12,0.6999999787416525,0.2500000253259063,0.04999999593243541,Bull
2015-06-15,0.7000000000059995,0.2500000003956799,0.049999999598320764,Bull
2015-06-16,0.6999999992897136,0.25000000076256346,0.04999999994772332,Bull
2015-06-17,0.6999999992348332,0.2500000008213375,0.04999999994382936,Bull
2015-06-18,0.6999999993313176,0.25000000071757206,0.04999999995111061,Bull
2015-06-19,0.7000000000448973,0.2500000000815762,0.049999999873593916,Bull
2015-06-22,0.5500000008317083,0.3999999992241732,0.04999999994411917,Bull
2015-06-23,0.700000000017554,0.2500000004504839,0.049999999531962186,Bull
2015-06-24,0.7000000000781171,0.25000000026203606,0.049999999659859025,Bull
2015-06-25,0.700000000073841,0.25000000025392344,0.04999999967224225,Bull
2015-06-26,0.7000000000655905,0.2500000002133343,0.04999999972108291,Bull
