,wf_portfolio
2015-02-25,-0.007034998108983065
2015-02-26,0.002898817666737202
2015-02-27,-0.007297499077659082
2015-03-02,-0.0036427564790459943
2015-03-03,-0.0018439995732446274
2015-03-04,-0.00029120969850343707
2015-03-05,-0.019603808209319368
2015-03-06,0.006346672794151499
2015-03-09,-0.0004980643770002369
2015-03-10,0.002088296335699464
2015-03-11,0.004672809461988336
2015-03-12,-0.003852729128519461
2015-03-13,0.010036381467841193
2015-03-16,0.002391962213033596
2015-03-17,0.0162798604921852
2015-03-18,-0.004454240503406223
2015-03-19,0.007279372777709991
2015-03-20,-0.0007571573883572341
2015-03-23,0.0028019273251619677
2015-03-24,-0.010005729271768776
2015-03-25,-0.008158426112236232
2015-03-26,0.006730658356419333
2015-03-27,0.0012196296323297023
2015-03-30,-0.002517785059707466
2015-03-31,0.006799875745740172
2015-04-01,-0.004166818331086518
2015-04-02,0.0010998180180407816
2015-04-06,0.0026167170284239604
2015-04-07,0.000948574699536226
2015-04-08,-0.005454427647309079
2015-04-09,0.004037837829570297
2015-04-10,-0.001837745940808731
2015-04-13,0.0024844916165770864
2015-04-14,0.0028519123291198883
2015-04-15,-0.003433730226075911
2015-04-16,0.004042997405530129
2015-04-17,-0.004068022333742189
2015-04-20,-0.0011335062371619522
2015-04-21,-0.009847487983371088
2015-04-22,0.004592863951716476
2015-04-23,0.00015301701240827675
2015-04-24,0.0039504609464992586
2015-04-27,-0.003991316706008623
2015-04-28,-0.008964974219184572
2015-04-29,-0.006098221716145936
2015-04-30,-0.004941246595725813
2015-05-01,-0.002704442457181286
2015-05-04,-0.006033435062698735
2015-05-05,-0.009022399166701077
2015-05-06,0.006504429450301386
2015-05-07,0.00810273478010905
2015-05-08,-0.012628811461497854
2015-05-11,0.00038906208644918215
2015-05-12,-0.0013478139618788387
2015-05-13,0.006801324444328549
2015-05-14,0.008780728747642215
2015-05-15,-0.005225137721965509
2015-05-18,-0.005123776918188244
2015-05-19,0.0004863205809994518
2015-05-20,0.006673102088535127
