,SPY,TLT,GLD,regime
2017-06-05,0.5000000000514635,0.20000000008148205,0.2999999998670249,Bear
2017-06-06,0.5000000000482572,0.20000000011788166,0.299999999833838,Bear
2017-06-07,0.5000000000485914,0.20000000010347338,0.2999999998479011,Bear
2017-06-08,0.500000000051628,0.20000000010677343,0.29999999984156767,Bear
2017-06-09,0.5000000000489317,0.20000000014471195,0.2999999998063383,Bear
2017-06-12,0.5000000000437933,0.20000000018565914,0.2999999997705252,Bear
2017-06-13,0.5000000000402828,0.2000000002008292,0.2999999997588624,Bear
2017-06-14,0.5000000000355892,0.20000000020948216,0.29999999975490826,Bear
2017-06-15,0.5000000014169048,0.2000000041152706,0.2999999944678246,Bear
2017-06-16,0.5000000000692808,0.20000000009061955,0.29999999984010084,Bear
2017-06-19,0.5000000019305411,0.20000001615842966,0.29999998191102595,Bear
2017-06-20,0.4999999995519001,0.20000171081128293,0.2999982896368171,Bear
2017-06-21,0.5000000003142093,0.39999999836545913,0.10000000132033388,Bear
2017-06-22,0.5000000000027577,0.2542203803530989,0.24577961964414444,Bear
2017-06-23,0.499999998856627,0.20109315112690773,0.2989068500164653,Bear
2017-06-26,0.4999999994757704,0.20109077962937671,0.2989092208948529,Bear
2017-06-27,0.5000000004034343,0.3999999972399357,0.10000000235663004,Bear
2017-06-28,0.4999999998736565,0.2036314838085422,0.29636851631780126,Bear
2017-06-29,0.5000000000840689,0.20000000041293786,0.2999999995029925,Bear
2017-06-30,0.5000000001577497,0.20000000053685746,0.2999999993053963,Bear
2017-07-03,0.5000000001591349,0.2000000005463963,0.2999999992944733,Bear
2017-07-05,0.5000000000719068,0.3167745451248745,0.18322545480321883,Bear
2017-07-06,0.49999999994369976,0.20329178748007037,0.29670821257623,Bear
2017-07-07,0.5000000001154311,0.20000000388375616,0.2999999960008146,Bear
2017-07-10,0.5000000002508295,0.20000000186333508,0.2999999978858633,Bear
2017-07-11,0.7000000020819903,0.10000001519216394,0.19999998272585143,Bull
2017-07-12,0.24999999844953355,0.3853314319424524,0.3646685696080143,Crisis
2017-07-13,0.5000000007486494,0.20000004787849485,0.2999999513728692,Bear
2017-07-14,0.5000000004629778,0.20000000268732138,0.2999999968497016,Bear
2017-07-17,0.5000000002594659,0.20000000127296502,0.29999999846758774,Bear
